Unnamed: 0,title,link,images,listing_type,bedroom,bathrooms,location,town,price,pricepermonth,views,reactions
0,"1 bedroom for rent  |  Bonduma, Buea, Cameroon",https://digitalrenter.com/en/studio/Bonduma/Buea/studio-to-let-3309?locale=en,"['https://digitalrenter.s3.us-east-1.amazonaws.com/listings/fcaaf9bf27b22ccf44ec3207298263de.jpg', 'https://digitalrenter.s3.us-east-1.amazonaws.com/listings/6ef0e8c5a45a361dff5765c50be896be.jpg', 'https://digitalrenter.s3.us-east-1.amazonaws.com/listings/a28c5407840b211f44bbe168165e2516.jpg', 'https://digitalrenter.s3.us-east-1.amazonaws.com/listings/bb0afa5d600619edf09a691f12fe4a8b.jpg']",Studio,1.0,1.0,Bonduma, Buea,50000.0,per month,50,4
1,"3 bedroom bedrooms apartment for rent  |  Sandpit, Buea, Cameroon",https://digitalrenter.com/en/apartment/Sandpit/Buea/apartment-to-let-3308?locale=fr,"['https://digitalrenter.s3.us-east-1.amazonaws.com/listings/5260c94671f00add5d4fedd73f4a83db.jpg', 'https://digitalrenter.s3.us-east-1.amazonaws.com/listings/c5133f0b479f1b2980cddca4f286b494.jpg', 'https://digitalrenter.s3.us-east-1.amazonaws.com/listings/3ece88e303ba90b7d83949ecf4dcbfc9.jpg', 'https://digitalrenter.s3.us-east-1.amazonaws.com/listings/a8f8a6d4873a14705a7cfc55cf9ec741.jpg', 'https://digitalrenter.s3.us-east-1.amazonaws.com/listings/d0cb357c75a792d7709589198555b2b5.jpg', 'https://digitalrenter.s3.us-east-1.amazonaws.com/listings/c8177598121c4b84fe565f582bd9f9e1.jpg', 'https://digitalrenter.s3.us-east-1.amazonaws.com/listings/7383eae99e878ee171653462edaf15d3.jpg']",Apartment,3.0,2.0,Sandpit, Buea,120.0,per month,120,7
2,"1 bedroom toguest house to let   |  Mile 17, Buea, Cameroon",https://digitalrenter.com/en/guest%20house/Mile%2017/Buea/guest-house-to-let-1701?locale=en,"['https://digitalrenter.s3.us-east-1.amazonaws.com/listings/aa6b5f8a93f23a996be05f4734a4faea.jpg', 'https://digitalrenter.s3.us-east-1.amazonaws.com/listings/3ac1a5a611f0e0ea790f7f04ac8b7be9.jpg', 'https://digitalrenter.s3.us-east-1.amazonaws.com/listings/04ae369416f26a8772c93de0bb28768b.jpg', 'https://digitalrenter.s3.us-east-1.amazonaws.com/listings/df29795a84f735dd2bb36db43ab4faf8.jpg', 'https://digitalrenter.s3.us-east-1.amazonaws.com/listings/c118904209559d0f0f77ff7c40e58419.jpg', 'https://digitalrenter.s3.us-east-1.amazonaws.com/listings/84c7d47c1a19bb0feefc59d582311284.jpg', 'https://digitalrenter.s3.us-east-1.amazonaws.com/listings/bbee0d1bdbdcbcd4fca9e560fae64697.jpg', 'https://digitalrenter.s3.us-east-1.amazonaws.com/listings/dd279d0165983dbbed856b31063c6460.jpg', 'https://digitalrenter.s3.us-east-1.amazonaws.com/listings/a34535c18323a9fa8ded6cac2da22e06.jpg', 'https://digitalrenter.s3.us-east-1.amazonaws.com/listings/8b76e53997fde15fc8d51e5b084b64a5.jpg', 'https://digitalrenter.s3.us-east-1.amazonaws.com/listings/a10e32c4c809037502cc273cb7e5e149.jpg', 'https://digitalrenter.s3.us-east-1.amazonaws.com/listings/8ba6d0fa32166f666bee0b23b36f8f42.jpg', 'https://digitalrenter.s3.us-east-1.amazonaws.com/listings/a7a61160557d87f6b2c6cb09a2611d1e.jpg', 'https://digitalrenter.s3.us-east-1.amazonaws.com/listings/4049cb3f3e41a7562a8f8f72f016fc03.jpg', 'https://digitalrenter.s3.us-east-1.amazonaws.com/listings/be9facb8e0e481b3a7949f2b9233fd29.jpg', 'https://digitalrenter.s3.us-east-1.amazonaws.com/listings/f8bed90f78b1830e2dc6918a40b1ec2f.jpg', 'https://digitalrenter.s3.us-east-1.amazonaws.com/listings/1b24e000fcd61cba3040a356f1c04755.jpg', 'https://digitalrenter.s3.us-east-1.amazonaws.com/listings/cc776547bdafb396d8b7873766ad4b25.jpg', 'https://digitalrenter.s3.us-east-1.amazonaws.com/listings/eef8aeaab99583bfb71cecc58b4409db.jpg', 'https://digitalrenter.s3.us-east-1.amazonaws.com/listings/7e344c16f5eab06c2d17ba53aa3843ea.jpg']",Guest house,1.0,1.0,Mile 17, Buea,25000.0,As from,25,20
3,"1 bedroom tomega guest house  |  Mokundange, Limbe, Cameroon",https://digitalrenter.com/en/guest%20house/Mokundange/Limbe/mega-guest-house-384?locale=en,"['https://digitalrenter.s3.us-east-1.amazonaws.com/listings/3198c16cabf7dd0c072507a0e16e855a.jpg', 'https://digitalrenter.s3.us-east-1.amazonaws.com/listings/698384cc81d070692aceff76b9c35dca.jpg', 'https://digitalrenter.s3.us-east-1.amazonaws.com/listings/5cc129a61459b88c97f41c33caf06141.jpg', 'https://digitalrenter.s3.us-east-1.amazonaws.com/listings/648976cdf53b9a5f03683c03fbb04667.jpg', 'https://digitalrenter.s3.us-east-1.amazonaws.com/listings/09001588cb2e6ee86775bb4078a7ea81.jpg', 'https://digitalrenter.s3.us-east-1.amazonaws.com/listings/c59cebc83fe7b758a4c4b9052f69bf75.jpg', 'https://digitalrenter.s3.us-east-1.amazonaws.com/listings/2d91326ea366521e8dc1ddaf2f801f0d.jpg', 'https://digitalrenter.s3.us-east-1.amazonaws.com/listings/ebf3ff6c8358e2b2d8ce6cfd3acfcfba.jpg', 'https://digitalrenter.s3.us-east-1.amazonaws.com/listings/1670edcbaeebb05e1ccb242d59225d36.jpg', 'https://digitalrenter.s3.us-east-1.amazonaws.com/listings/7367deb08f88f01c2b9faa69a900f877.jpg', 'https://digitalrenter.s3.us-east-1.amazonaws.com/listings/0afb0942e12407440e8de136bb2f24fa.jpg', 'https://digitalrenter.s3.us-east-1.amazonaws.com/listings/97da6c37f0470634c01cc977e2eff223.jpg', 'https://digitalrenter.s3.us-east-1.amazonaws.com/listings/9d169f38b73e2bc06f7aeaeff66d6cc3.jpg', 'https://digitalrenter.s3.us-east-1.amazonaws.com/listings/de37cae0dd20af082a77e77095dd6de0.jpg', 'https://digitalrenter.s3.us-east-1.amazonaws.com/listings/ae17c0cf863e1ec545f5f383312b9c0a.jpg', 'https://digitalrenter.s3.us-east-1.amazonaws.com/listings/08a1a675f7113c5800e600dbea340a4b.jpg', 'https://digitalrenter.s3.us-east-1.amazonaws.com/listings/471eb8a9b0548f4115041a366b3c0bfb.jpg']",Guest house,1.0,1.0,Mokundange, Limbe,3164794.4680851065,per month,0,17
4,"1 bedroom room for rent  |  Mime, Akom, Cameroon",https://digitalrenter.com/en/single%20room/Mime/Akom/single-room-to-let-4002?locale=en,['https://digitalrenter.com/front/img/house-search.png'],Single Room,1.0,1.0,Mime, Akom,200000.0,per year,200,0
5,"1 bedroom for sale  |  Mile three , Bamenda, Cameroon",https://digitalrenter.com/en/duplex/Mile%20three%20/Bamenda/duplex-for-sale-3994?locale=en,['https://digitalrenter.s3.amazonaws.com/listings/f8c03a91d8b2098d28d843c8b389fc18.jpg'],Guest house,1.0,1.0,Mile three , Bamenda,150.0,per month,150,1
6,"1 bedroom toguest house to let   |  Mile 2 GHS, Limbe, Cameroon",https://digitalrenter.com/en/guest%20house/Mile%202%20GHS/Limbe/guest-house-to-let-3987?locale=en,"['https://digitalrenter.s3.amazonaws.com/listings/98b426e67bed80c639ea1d8d27e3b850.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/f4146945d90f2813d0d829e9a3459836.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/ac1d3c03ccbafcec44b22894466850b4.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/01ca94bab254b00cbf8e6bf6bd43eaa0.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/bd71a5f2700507c5a5c804098c85341b.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/9422b8b965b552b1d3ca1afdfa5bd798.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/42876ef3a18234189f430aac5a886528.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/b58615de8383395a3f269964e61bdfbb.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/2d7744e1f858d40bc359f90248e4b605.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/1688f4884bb2e7e116b03229237e0142.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/252bab590b68f561c995265eb72b3dbc.JPEG']",Guest house,1.0,1.0,Mile 2 GHS, Limbe,60000.0,As from,60,11
7,"1 bedroom for rent  |  After GHS Limbe , Limbe, Cameroon",https://digitalrenter.com/en/studio/After%20GHS%20Limbe%20/Limbe/studio-to-let-3979?locale=en,"['https://digitalrenter.s3.amazonaws.com/listings/2d085f3edc869e28cfdb1f15bbc3ebb2.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/167df70720fa0f9869789619d181c33d.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/5b9e9b84f1822c87275cb4430dcc10c4.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/284484645bb55ca73aa887456c8fa543.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/c5be8bf4e3a1e2db3db06b41b182b588.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/a471a940442148d8090e4dada7fea9b1.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/18138c50fe6684a8561f2b42e2f3c7ff.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/4b5bfff7d102c39fd635dc7cd9ee90ac.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/4a878cfc89007ab5db90ede9eb6f2c89.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/c7e1f6375d2f1ebfc22396b1c4957740.JPEG']",Studio,1.0,1.0,After GHS Limbe , Limbe,70000.0,per month,70,10
8,"2 bedroom bedrooms apartment for rent  |  Kie layout , Limbe, Cameroon",https://digitalrenter.com/en/apartment/Kie%20layout%20/Limbe/apartment-to-let-3978?locale=en,"['https://digitalrenter.s3.amazonaws.com/listings/7909d1e573842c3f7630306805388dfa.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/fbb584c1b7a9f9124886f4b8ae562cff.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/5a04c409ab5788b5bdd93c34bd7e9377.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/6f763ea3f3215d74924d01e9c03add37.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/653e2a8c5bad47629a1fed89bbc47011.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/451bc6c98d72bb37105d7573b4280558.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/e32458ea16e97aae2fdcaa706a213644.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/429a9fcdf177476b60ab06b6163c1cb5.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/eede7b4c1ef43f04b26e8441f9ba3586.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/d75ab3d0e7459afac1c61dd79454ecb8.JPEG']",Apartment,2.0,2.0,Kie layout , Limbe,100000.0,per month,100,10
9,"1 bedroom for rent  |  After GHS Limbe , Limbe, Cameroon",https://digitalrenter.com/en/studio/After%20GHS%20Limbe%20/Limbe/studio-to-let-3977?locale=en,"['https://digitalrenter.s3.amazonaws.com/listings/9fcea257131757fdc259572f7af2934d.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/f967811f53f5e3bd555549e6449639d8.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/0cafdcf43b6a500f7dcae3a0c3f380ce.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/43a04b2e2f8e8f09e7d1b7a6dd616126.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/15d6c565c02663b0449492ff887d6c24.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/1614bfc7b90dff193dd5e196b9316439.JPEG', 'https://digitalrenter.s3.amazonaws.com/listings/4cb49f587c6ede710bc622e57ad21d41.JPEG']",Studio,1.0,1.0,After GHS Limbe , Limbe,65000.0,per month,65,7
