Unnamed: 0,title,image,link,listing_type,bedroom,bathrooms,location,town,price,pricepermonth,views,reactions
1,"3 bedroom bedrooms apartment for rent  |  Sandpit, Buea, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/5260c94671f00add5d4fedd73f4a83db.jpg,https://digitalrenter.com/en/apartment/Sandpit/Buea/apartment-to-let-3308?locale=fr,Apartment,3.0,2.0,Sandpit, Buea,120.0,per month,120,7
2,"1 bedroom toguest house to let   |  Mile 17, Buea, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/aa6b5f8a93f23a996be05f4734a4faea.jpg,https://digitalrenter.com/en/guest%20house/Mile%2017/Buea/guest-house-to-let-1701?locale=fr,Guest house,1.0,1.0,Mile 17, Buea,25000.0,As from,25,20
3,"1 bedroom tomega guest house  |  Mokundange, Limbe, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/3198c16cabf7dd0c072507a0e16e855a.jpg,https://digitalrenter.com/en/guest%20house/Mokundange/Limbe/mega-guest-house-384?locale=en,Guest house,1.0,1.0,Mokundange, Limbe,0.0,per month,0,17
4,"1 bedroom for sale  |  Mile three , Bamenda, Cameroon",https://digitalrenter.s3.amazonaws.com/listings/f8c03a91d8b2098d28d843c8b389fc18.jpg,https://digitalrenter.com/en/duplex/Mile%20three%20/Bamenda/duplex-for-sale-3994?locale=en,Guest house,1.0,1.0,Mile three , Bamenda,150.0,per month,150,1
5,"1 bedroom toguest house to let   |  Mile 2 GHS, Limbe, Cameroon",https://digitalrenter.s3.amazonaws.com/listings/98b426e67bed80c639ea1d8d27e3b850.JPEG,https://digitalrenter.com/en/guest%20house/Mile%202%20GHS/Limbe/guest-house-to-let-3987?locale=en,Guest house,1.0,1.0,Mile 2 GHS, Limbe,60000.0,As from,60,11
6,"1 bedroom for rent  |  After GHS Limbe , Limbe, Cameroon",https://digitalrenter.s3.amazonaws.com/listings/2d085f3edc869e28cfdb1f15bbc3ebb2.JPEG,https://digitalrenter.com/en/studio/After%20GHS%20Limbe%20/Limbe/studio-to-let-3979?locale=en,Studio,1.0,1.0,After GHS Limbe , Limbe,70000.0,per month,70,10
7,"2 bedroom bedrooms apartment for rent  |  Kie layout , Limbe, Cameroon",https://digitalrenter.s3.amazonaws.com/listings/7909d1e573842c3f7630306805388dfa.JPEG,https://digitalrenter.com/en/apartment/Kie%20layout%20/Limbe/apartment-to-let-3978?locale=en,Apartment,2.0,2.0,Kie layout , Limbe,100000.0,per month,100,10
8,"1 bedroom for rent  |  After GHS Limbe , Limbe, Cameroon",https://digitalrenter.s3.amazonaws.com/listings/9fcea257131757fdc259572f7af2934d.JPEG,https://digitalrenter.com/en/studio/After%20GHS%20Limbe%20/Limbe/studio-to-let-3977?locale=en,Studio,1.0,1.0,After GHS Limbe , Limbe,65000.0,per month,65,7
9,"3 bedroom bedrooms apartment for rent  |  After GHS Limbe , Limbe, Cameroon",https://digitalrenter.s3.amazonaws.com/listings/3d260b68ffa9ea38fb02da1938dcf640.JPEG,https://digitalrenter.com/en/apartment/After%20GHS%20Limbe%20/Limbe/apartment-to-let-3976?locale=en,Apartment,3.0,3.0,After GHS Limbe , Limbe,150000.0,per month,150,12
10,"1 bedroom room for rent  |  After GHS Limbe , Limbe, Cameroon",https://digitalrenter.s3.amazonaws.com/listings/c9990f206f1ac2074409035b79d195a2.JPEG,https://digitalrenter.com/en/single%20room/After%20GHS%20Limbe%20/Limbe/single-room-to-let-3975?locale=en,Single Room,1.0,1.0,After GHS Limbe , Limbe,50000.0,per month,50,6
11,"1 bedroom room for rent  |  Mile 4, Limbe, Cameroon",https://digitalrenter.s3.amazonaws.com/listings/2fbf22279090bde6c259af5109550b76.JPEG,https://digitalrenter.com/en/single%20room/Mile%204/Limbe/single-room-to-let-3974?locale=en,Single Room,1.0,1.0,Mile 4, Limbe,30000.0,per month,30,6
12,"1 bedroom room for rent  |  Green city, Limbe, Cameroon",https://digitalrenter.s3.amazonaws.com/listings/96e48f967df252770b2c11c50644634a.JPEG,https://digitalrenter.com/en/single%20room/Green%20city/Limbe/single-room-to-let-3973?locale=en,Single Room,1.0,1.0,Green city, Limbe,30000.0,per month,30,4
13,"1 bedroom for rent  |  Mile 3, Limbe, Cameroon",https://digitalrenter.s3.amazonaws.com/listings/b25f09f9af545d8264fb4fe804894493.JPEG,https://digitalrenter.com/en/studio/Mile%203/Limbe/studio-to-let-3972?locale=en,Studio,1.0,1.0,Mile 3, Limbe,100000.0,per month,100,6
14,"1 bedroom room for rent  |  Karata, Limbe, Cameroon",https://digitalrenter.s3.amazonaws.com/listings/60415b80e32c0c3ca29e509f064012ce.JPEG,https://digitalrenter.com/en/single%20room/Karata/Limbe/single-room-to-let-3971?locale=en,Single Room,1.0,1.0,Karata, Limbe,45000.0,per month,45,4
15,"2 bedroom bedrooms apartment for rent  |  Kie layout , Limbe, Cameroon",https://digitalrenter.s3.amazonaws.com/listings/101cb5ca0eb52bdac8a1a00a658e3635.JPEG,https://digitalrenter.com/en/apartment/Kie%20layout%20/Limbe/apartment-to-let-3970?locale=en,Apartment,2.0,2.0,Kie layout , Limbe,90000.0,per month,90,8
16,"1 bedroom for rent  |  Busumbu,mile 2 , Limbe, Cameroon",https://digitalrenter.s3.amazonaws.com/listings/6ace02bd71fad3776bd632de2b9437a8.JPEG,"https://digitalrenter.com/en/studio/Busumbu,mile%202%20/Limbe/studio-to-let-3969?locale=en",Studio,1.0,1.0,Busumbu,mile 2 ,75000.0,per month,75,6
17,"1 bedroom room for rent  |  Green city, Limbe, Cameroon",https://digitalrenter.s3.amazonaws.com/listings/049532973ec5ab715e5ba4fac5a7df87.JPEG,https://digitalrenter.com/en/single%20room/Green%20city/Limbe/single-room-to-let-3964?locale=en,Single Room,1.0,1.0,Green city, Limbe,30000.0,per month,30,4
18,"0 bedroom toguest house for sale   |  Efoulan , Yaounde, Cameroon",https://digitalrenter.s3.amazonaws.com/listings/5a275da6579216c4bed66c4b3d2445fa.jpg,https://digitalrenter.com/en/guest%20house/Efoulan%20/Yaounde/guest-house-for-sale-3962?locale=en,Guest house,0.0,0.0,Efoulan , Yaounde,80000000.0,As from,80,10
19,"1 bedroom for rent  |  Mile 3, Limbe, Cameroon",https://digitalrenter.s3.amazonaws.com/listings/825410644f705be8e3741e6aa0cafd10.JPEG,https://digitalrenter.com/en/studio/Mile%203/Limbe/studio-to-let-3960?locale=en,Studio,1.0,1.0,Mile 3, Limbe,100000.0,per month,100,6
20,"1 bedroom room for rent  |  Ngeme, Limbe, Cameroon",https://digitalrenter.s3.amazonaws.com/listings/76f9421678340a850d3f844b2fe6049e.jpg,https://digitalrenter.com/en/single%20room/Ngeme/Limbe/single-room-to-let-3959?locale=en,Single Room,1.0,1.0,Ngeme, Limbe,35000.0,per month,35,5
21,"3 bedroom bedrooms apartment for rent  |  Odza, Yaounde, Cameroon",https://digitalrenter.s3.amazonaws.com/listings/a40e0224add15b6e6396752a47d7d19a.jpg,https://digitalrenter.com/en/apartment/Odza/Yaounde/apartment-to-let-3955?locale=en,Apartment,3.0,2.0,Odza, Yaounde,250000.0,per month,250,7
22,"1 bedroom for rent  |  Mile 3, Limbe, Cameroon",https://digitalrenter.s3.amazonaws.com/listings/5d231c48b254cc0e0fd0a82503a1f118.JPEG,https://digitalrenter.com/en/studio/Mile%203/Limbe/studio-to-let-3952?locale=en,Studio,1.0,1.0,Mile 3, Limbe,100000.0,per month,100,5
23,"1 bedroom room for rent  |  Great soppo, Buea, Cameroon",https://digitalrenter.s3.amazonaws.com/listings/cc3624bd742265324463bbe4ab393d87.jpg,https://digitalrenter.com/en/single%20room/Great%20soppo/Buea/single-room-to-let-3951?locale=en,Single Room,1.0,1.0,Great soppo, Buea,35000.0,per month,35,8
24,"1 bedroom room for rent  |  Mile 2, Limbe, Cameroon",https://digitalrenter.s3.amazonaws.com/listings/64807654de17e69681494f77176aab9b.JPEG,https://digitalrenter.com/en/single%20room/Mile%202/Limbe/single-room-to-let-3944?locale=fr,Single Room,1.0,1.0,Mile 2, Limbe,35000.0,per month,35,4
25,"2 bedroom bedrooms apartment for rent  |  Mile 2,St David's Entrance , Limbe, Cameroon",https://digitalrenter.s3.amazonaws.com/listings/6178e11c492acbdd2d30cb4b53f77a81.JPEG,"https://digitalrenter.com/en/apartment/Mile%202,St%20David%27s%20Entrance%20/Limbe/apartment-to-let-3942?locale=en",Apartment,2.0,2.0,Mile 2,St David's Entrance ,120000.0,per month,120,11
26,"1 bedroom for rent  |  Beside GHS Limbe, Limbe, Cameroon",https://digitalrenter.s3.amazonaws.com/listings/1d3e8f34c7b7d564400e203de95a8146.JPEG,https://digitalrenter.com/en/studio/Beside%20GHS%20Limbe/Limbe/studio-to-let-3941?locale=en,Studio,1.0,1.0,Beside GHS Limbe, Limbe,60000.0,per month,60,4
27,"1 bedroom room for rent  |  Mile 2 GHS, Limbe, Cameroon",https://digitalrenter.s3.amazonaws.com/listings/9afbe2d9a57c1879fba031acd92d19a7.JPEG,https://digitalrenter.com/en/single%20room/Mile%202%20GHS/Limbe/single-room-to-let-3940?locale=en,Single Room,1.0,1.0,Mile 2 GHS, Limbe,40000.0,per month,40,5
28,"1 bedroom room for rent  |  Mile 2 GHS, Limbe, Cameroon",https://digitalrenter.s3.amazonaws.com/listings/22e35b8de0d96c8680b6a5af636916c9.JPEG,https://digitalrenter.com/en/single%20room/Mile%202%20GHS/Limbe/single-room-to-let-3936?locale=en,Single Room,1.0,1.0,Mile 2 GHS, Limbe,35000.0,per month,35,5
29,"2 bedroom bedrooms apartment for rent  |  After Savoy Palms, towards red cross Junction, Limbe, Cameroon",https://digitalrenter.s3.amazonaws.com/listings/814bc3389c65e77e4eafa536ef66976e.JPEG,"https://digitalrenter.com/en/apartment/After%20Savoy%20Palms,%20towards%20red%20cross%20Junction/Limbe/apartment-to-let-3934?locale=en",Apartment,2.0,2.0,After Savoy Palms, towards red cross Junction,130000.0,per month,130,7
30,"2 bedroom bedrooms apartment for rent  |  Opposite GHS LIMBE, Limbe, Cameroon",https://digitalrenter.s3.amazonaws.com/listings/6cab46b93037b39f06e5052e2cb4ea4c.JPEG,https://digitalrenter.com/en/apartment/Opposite%20GHS%20LIMBE/Limbe/apartment-to-let-3933?locale=en,Apartment,2.0,2.0,Opposite GHS LIMBE, Limbe,80000.0,per month,80,8
31,"1 bedroom for rent  |  Opposite GHS LIMBE, Limbe, Cameroon",https://digitalrenter.s3.amazonaws.com/listings/512953382369e58ba9abcfb45764d589.JPEG,https://digitalrenter.com/en/apartment/Opposite%20GHS%20LIMBE/Limbe/apartment-to-let-3932?locale=en,Apartment,1.0,1.0,Opposite GHS LIMBE, Limbe,100000.0,per month,100,6
32,"2 bedroom bedrooms apartment for rent  |  Sokolo, Limbe, Cameroon",https://digitalrenter.s3.amazonaws.com/listings/170fbc2cc6989ce8e5deec08acc49944.JPEG,https://digitalrenter.com/en/apartment/Sokolo/Limbe/apartment-to-let-3931?locale=en,Apartment,2.0,2.0,Sokolo, Limbe,150000.0,per month,150,10
33,"3 bedroom bedrooms apartment for rent  |  Opposite GHS LIMBE, Limbe, Cameroon",https://digitalrenter.s3.amazonaws.com/listings/c25e12ca4ed300c48dd749d893c73478.JPEG,https://digitalrenter.com/en/apartment/Opposite%20GHS%20LIMBE/Limbe/apartment-to-let-3930?locale=en,Apartment,3.0,4.0,Opposite GHS LIMBE, Limbe,130000.0,per month,130,8
34,"4 bedroom bedrooms duplex for sale  |  Bonamousadi, Douala, Cameroon",https://digitalrenter.s3.amazonaws.com/listings/6ea554091f2a4e67a5f1dc37c06d9f86.jpg,https://digitalrenter.com/en/duplex/Bonamousadi/Douala/duplex-for-sale-3929?locale=en,Guest house,4.0,3.0,Bonamousadi, Douala,65000000.0,per month,65,12
35,"1 bedroom room for rent  |  Mayor street , Buea, Cameroon",https://digitalrenter.s3.amazonaws.com/listings/30a0c76f21711b5e4b5f0d86024c29a2.JPEG,https://digitalrenter.com/en/single%20room/Mayor%20street%20/Buea/single-room-to-let-3928?locale=en,Single Room,1.0,1.0,Mayor street , Buea,35000.0,per month,35,1
36,"4 bedroom bedrooms duplex for sale  |  Baoba - Bonamousadi, Douala, Cameroon",https://digitalrenter.com/front/img/house-search.png,https://digitalrenter.com/en/duplex/Baoba%20-%20Bonamousadi/Douala/duplex-for-sale-3926?locale=en,Guest house,4.0,5.0,Baoba - Bonamousadi, Douala,70.0,per month,70,0
37,"1 bedroom room for rent  |  Mayor street , Buea, Cameroon",https://digitalrenter.s3.amazonaws.com/listings/7d3bea2b25a31e6fba81a7db82d090cb.JPEG,https://digitalrenter.com/en/single%20room/Mayor%20street%20/Buea/single-room-to-let-3924?locale=en,Single Room,1.0,1.0,Mayor street , Buea,35000.0,per month,35,1
38,"1 bedroom bedroom studio for rent  |  Sandpit, Buea, Cameroon",https://digitalrenter.s3.amazonaws.com/listings/397dee4929e6635e79799f4528e24aec.JPEG,https://digitalrenter.com/en/studio/Sandpit/Buea/studio-to-let-3918?locale=en,Studio,1.0,1.0,Sandpit, Buea,50000.0,per month,50,4
39,"2 bedroom bedrooms apartment for rent  |  Sandpit, Buea, Cameroon",https://digitalrenter.s3.amazonaws.com/listings/537546d8bdd50ae4828a603952264a9f.JPEG,https://digitalrenter.com/en/apartment/Sandpit/Buea/apartment-to-let-3916?locale=en,Apartment,2.0,2.0,Sandpit, Buea,80000.0,per month,80,6
40,"1 bedroom bedroom studio for rent  |  Bonduma, Buea, Cameroon",https://digitalrenter.s3.amazonaws.com/listings/32060c84396251d438c472e145ea3b60.JPEG,https://digitalrenter.com/en/studio/Bonduma/Buea/studio-to-let-3914?locale=en,Studio,1.0,1.0,Bonduma, Buea,50000.0,per month,50,5
41,"1 bedroom bedroom studio for rent  |  Longstreet, Buea, Cameroon",https://digitalrenter.s3.amazonaws.com/listings/58ec54bcbdcc378d00367514daff6743.JPEG,https://digitalrenter.com/en/studio/Longstreet/Buea/studio-to-let-3913?locale=en,Studio,1.0,1.0,Longstreet, Buea,55000.0,per month,55,5
42,"2 bedroom bedrooms apartment for rent  |  Behind GHS , Limbe, Cameroon",https://digitalrenter.s3.amazonaws.com/listings/81cebf8e6ae46adf95d65534151a63fb.jpg,https://digitalrenter.com/en/apartment/Behind%20GHS%20/Limbe/apartment-to-let-3911?locale=en,Apartment,2.0,1.0,Behind GHS , Limbe,70000.0,per month,70,5
43,"1 bedroom bedroom store for rent  |  Bakweri Town, Buea, Cameroon",https://digitalrenter.s3.amazonaws.com/listings/35f23f8682c98099ec2f1fe055abcaa7.jpg,https://digitalrenter.com/en/store/Bakweri%20Town/Buea/store-to-let-3908?locale=en,Store,1.0,0.0,Bakweri Town, Buea,450000.0,per year,450,4
44,"1 bedroom for rent  |  Sandpit, Buea, Cameroon",https://digitalrenter.s3.amazonaws.com/listings/48bb98486bfb1c640f529a5681b1c75f.JPEG,https://digitalrenter.com/en/apartment/Sandpit/Buea/apartment-to-let-3907?locale=en,Apartment,1.0,2.0,Sandpit, Buea,100000.0,per month,100,5
45,"2 bedroom bedrooms apartment for rent  |  Sandpit, Buea, Cameroon",https://digitalrenter.s3.amazonaws.com/listings/32c77d11129cd7125f08b098dcd3273d.JPEG,https://digitalrenter.com/en/apartment/Sandpit/Buea/apartment-to-let-3906?locale=en,Apartment,2.0,2.0,Sandpit, Buea,110000.0,per month,110,8
46,"3 bedroom bedrooms apartment for rent  |  Sandpit, Buea, Cameroon",https://digitalrenter.s3.amazonaws.com/listings/8e9fefafb988aea8abb4ded01730dadc.JPEG,https://digitalrenter.com/en/apartment/Sandpit/Buea/apartment-to-let-3905?locale=en,Apartment,3.0,2.0,Sandpit, Buea,140000.0,per month,140,6
47,"1 bedroom bedroom studio for rent  |  Sandpit, Buea, Cameroon",https://digitalrenter.s3.amazonaws.com/listings/4a4a18cf8d90a53644b617a7e28e2140.JPEG,https://digitalrenter.com/en/studio/Sandpit/Buea/studio-to-let-3904?locale=en,Studio,1.0,1.0,Sandpit, Buea,55000.0,per month,55,4
48,"2 bedroom bedrooms apartment for rent  |  Small Soppo, Buea, Cameroon",https://digitalrenter.s3.amazonaws.com/listings/27ea507c349f01c3e25cc0e5aba59b39.JPEG,https://digitalrenter.com/en/apartment/Small%20Soppo/Buea/apartment-to-let-3900?locale=en,Apartment,2.0,2.0,Small Soppo, Buea,60000.0,per month,60,5
49,"1 bedroom bedroom single room for rent  |  Soppo, Buea, Cameroon",https://digitalrenter.s3.amazonaws.com/listings/d2272909229d24ad37fd8189dd2d2dfa.JPEG,https://digitalrenter.com/en/single%20room/Soppo/Buea/single-room-to-let-3899?locale=en,Single Room,1.0,1.0,Soppo, Buea,30000.0,per month,30,3
50,"1 bedroom bedroom single room for rent  |  Small Soppo, Buea, Cameroon",https://digitalrenter.s3.amazonaws.com/listings/816a8bd73bf31c7880aee9a72e54124b.JPEG,https://digitalrenter.com/en/single%20room/Small%20Soppo/Buea/single-room-to-let-3898?locale=en,Single Room,1.0,1.0,Small Soppo, Buea,25000.0,per month,25,4
51,"1 bedroom bedroom single room for rent  |  Sandpit, Buea, Cameroon",https://digitalrenter.s3.amazonaws.com/listings/247e158370937e4e4422dc0b4a068da2.JPEG,https://digitalrenter.com/en/single%20room/Sandpit/Buea/single-room-to-let-3896?locale=fr,Single Room,1.0,1.0,Sandpit, Buea,25000.0,per month,25,3
52,"1 bedroom bedroom studio for rent  |  Sandpit, Buea, Cameroon",https://digitalrenter.s3.amazonaws.com/listings/1dc1bb15ce8a9776532908899088dcf8.jpg,https://digitalrenter.com/en/studio/Sandpit/Buea/studio-to-let-3895?locale=en,Studio,1.0,1.0,Sandpit, Buea,60000.0,per month,60,1
53,"2 bedroom bedrooms apartment for rent  |  Sandpit, Buea, Cameroon",https://digitalrenter.s3.amazonaws.com/listings/482990fdc7d0a9520376be72a9c7de82.JPEG,https://digitalrenter.com/en/apartment/Sandpit/Buea/apartment-to-let-3894?locale=en,Apartment,2.0,2.0,Sandpit, Buea,70000.0,per month,70,13
