id,query,Unnamed,title,image,link,listing_type,bedroom,bathrooms,location,town,price,pricepermonth,views,reactions
1,2 bedroom house in Bokwango Buea,116,"2 bedrooms apartment for rent  |  Bokwango, Buea, Cameroon",https://digitalrenter.com/front/img/house-search.png,https://digitalrenter.com/en/apartment/Bokwango/Buea/apartment-to-let-3751?locale=en,Apartment,2,3.0,Bokwango, Buea,150000.0,per month,150,0
2,2 bedroom house in Bokwango Buea,303,"2 bedrooms apartment for rent  |  Bokwango, Buea, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/13a88d9e90e2c6df1dccadb31aa5e1f6.jpg,https://digitalrenter.com/en/apartment/Bokwango/Buea/apartment-to-let-3406?locale=en,Apartment,2,1.0,Bokwango, Buea,90000.0,per month,90,9
3,2 bedroom house in Bokwango Buea,858,"2 bedrooms apartment for rent  |  Bokwango, Buea, Cameroon",https://digitalrenter.com/front/img/house-search.png,https://digitalrenter.com/en/apartment/Bokwango/Buea/apartment-to-let-1862?locale=en,Apartment,2,2.0,Bokwango, Buea,100000.0,per month,100,0
4,2 bedroom house in Bokwango Buea,919,"2 bedrooms apartment for rent  |  Bokwango, Buea, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/ff1efe62494d3224f8eeeabee2bad2e9.JPEG,https://digitalrenter.com/en/apartment/Bokwango/Buea/apartment-to-let-1662?locale=en,Apartment,2,2.0,Bokwango, Buea,90000.0,per month,90,7
5,family houses in  Limbe Bocom mile 2,306,"2 bedrooms apartment for rent  |  Bocom mile 2, Limbe, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/7d9e93e9f1e211d2b3fb8b58b8da07eb.JPEG,https://digitalrenter.com/en/apartment/Bocom%20mile%202/Limbe/apartment-to-let-3401?locale=en,Apartment,2,1.0,Bocom mile 2, Limbe,85000.0,per month,85,9
6,family houses in  Limbe Bocom mile 2,312,"1 for rent  |  Bocom mile 2, Limbe, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/22c70b3623a1042276f94c72c5870947.JPEG,https://digitalrenter.com/en/studio/Bocom%20mile%202/Limbe/studio-to-let-3395?locale=en,Studio,1,1.0,Bocom mile 2, Limbe,65000.0,per month,65,10
7,family houses in  Limbe Bocom mile 2,763,"2 bedrooms apartment for rent  |  Bocom mile 2, Limbe, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/c638a7e6ade051624991a4485686d012.JPEG,https://digitalrenter.com/en/apartment/Bocom%20mile%202/Limbe/apartment-to-let-2203?locale=en,Apartment,2,1.0,Bocom mile 2, Limbe,60000.0,per month,60,13
8,1 bedroom house in Federal quarters Buea,326,"1 for rent  |  Federal quarters, Buea, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/76a13b549c8f5cf6609ebbca4ffb24ac.JPEG,https://digitalrenter.com/en/studio/Federal%20quarters/Buea/studio-to-let-3365?locale=en,Studio,1,1.0,Federal quarters, Buea,60000.0,per month,60,4
9,1 bedroom house in Federal quarters Buea,363,"1 for rent  |  Federal quarters, Buea, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/9972f9f0576fa2f2d73969fff8e1f1d4.JPEG,https://digitalrenter.com/en/studio/Federal%20quarters/Buea/studio-to-let-3245?locale=en,Studio,1,1.0,Federal quarters, Buea,105000.0,per month,105,4
10,1 bedroom house in Federal quarters Buea,605,"1 room for rent  |  Federal quarters, Buea, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/5d1f729829d1de9d5c1b93ddaf97d3fb.JPEG,https://digitalrenter.com/en/single%20room/Federal%20quarters/Buea/single-room-to-let-2749?locale=en,Single Room,1,1.0,Federal quarters, Buea,35000.0,per month,35,7
11,1 bedroom house in Federal quarters Buea,724,"1 room for rent  |  Federal quarters, Buea, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/d1b5f728cc0407c1e04c9b1971f1a333.JPEG,https://digitalrenter.com/en/single%20room/Federal%20quarters/Buea/single-room-to-let-2310?locale=en,Single Room,1,1.0,Federal quarters, Buea,40000.0,per month,40,4
12,1 bedroom house in Federal quarters Buea,751,"1 toguest house to let   |  Federal quarters, Buea, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/dd065a070c03ced793d2ee6af5cd9acb.jpg,https://digitalrenter.com/en/guest%20house/Federal%20quarters/Buea/guest-house-to-let-2235?locale=en,Guest house,1,1.0,Federal quarters, Buea,60000.0,As from,60,11
13,1 bedroom house in Federal quarters Buea,752,"1 toguest house to let   |  Federal quarters, Buea, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/b9ffcc2bac649ce4cab8cb7dc7b192dd.jpg,https://digitalrenter.com/en/guest%20house/Federal%20quarters/Buea/guest-house-to-let-2234?locale=en,Guest house,1,1.0,Federal quarters, Buea,30000.0,As from,30,5
